Fiscal Year,Category,Type,Scope,Description,Emissions
2016,Corporate emissions,Gross emissions,Scope 1,Others,7370
2016,Corporate emissions,Gross emissions,Scope 1,Others,
2016,Corporate emissions,Gross emissions,Scope 2 (market-based),Others,41000
2016,Corporate emissions,Gross emissions,Scope 2 (market-based),Others,
2016,Corporate emissions,Gross emissions,Scope 3,Others,118000
2016,Corporate emissions,Gross emissions,Scope 3,Others,186000
2016,Corporate emissions,Gross emissions,Scope 3,Others,
2016,Corporate emissions,Gross emissions,Scope 3,Others,
2016,Corporate emissions,Gross emissions,Scope 3,Others,
2016,Corporate emissions,Gross emissions,Scope 3,Others,
2016,Corporate emissions,Carbon removals,,Others,
2016,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing,22800000
2016,Product life cycle emissions,Gross emissions,Scope 3,Product transportation,1200000
2016,Product life cycle emissions,Gross emissions,Scope 3,Product use,4900000
2016,Product life cycle emissions,Gross emissions,Scope 3,Others,300000
2016,Product life cycle emissions,Carbon removals,,Others,
2015,Corporate emissions,Gross emissions,Scope 1,Others,19360
2015,Corporate emissions,Gross emissions,Scope 1,Others,8740
2015,Corporate emissions,Gross emissions,Scope 1,Others,
2015,Corporate emissions,Gross emissions,Scope 2 (market-based),Others,42460
2015,Corporate emissions,Gross emissions,Scope 2 (market-based),Others,
2015,Corporate emissions,Gross emissions,Scope 3,Others,139940
2015,Corporate emissions,Gross emissions,Scope 3,Others,172970
2015,Corporate emissions,Gross emissions,Scope 3,Others,
2015,Corporate emissions,Gross emissions,Scope 3,Others,
2015,Corporate emissions,Gross emissions,Scope 3,Others,
2015,Corporate emissions,Gross emissions,Scope 3,Others,
2015,Corporate emissions,Carbon removals,,Others,
2015,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing,29600000
2015,Product life cycle emissions,Gross emissions,Scope 3,Product transportation,1300000
2015,Product life cycle emissions,Gross emissions,Scope 3,Product use,6600000
2015,Product life cycle emissions,Gross emissions,Scope 3,Others,500000
2015,Product life cycle emissions,Carbon removals,,Others,
